12b,T°C,RT/R25,R2,U2,R1
149,121.02459961989064,0.0378935204631744,378.7555887804941,0.18220226199334807,10000.000000000002
150,120.76437577648021,0.038153785516974036,381.32448374034783,0.1834062718050151,10000.0
151,120.50686789202828,0.03841328712437818,383.88818393021677,0.18460723141001278,10000.0
152,120.25207596653492,0.03867202528538684,386.4466893501008,0.1858051408083411,10000.000000000002
153,120.0,0.03893,389.0,0.187,10000.0
154,119.75063999242363,0.03918721126821768,391.5481158799143,0.1881918089849896,10000.0
155,119.50399594380578,0.03944365909003986,394.0910369898439,0.18938056776330986,10000.0
156,119.26006785414643,0.039699343465466566,396.6287633297885,0.19056627633496076,10000.0
157,119.0188557234456,0.03995426439449778,399.1612948997484,0.19174893469994225,10000.0
158,118.7803595517033,0.04020842187713351,401.68863169972343,0.19292854285825448,10000.000000000002
159,118.54457933891946,0.040461815913373736,404.2107737297136,0.19410510080989724,10000.0
160,118.3115150850942,0.04071444650321848,406.72772098971893,0.19527860855487073,10000.0
161,118.08116679022746,0.04096631364666775,409.23947347973944,0.1964490660931748,10000.000000000002
162,117.85353445431915,0.041217417343721516,411.7460311997751,0.19761647342480954,10000.0
163,117.62861807736942,0.04146775759437979,414.24739414982594,0.19878083054977494,10000.0
164,117.40641765937818,0.041717334398642586,416.7435623298918,0.19994213746807094,10000.0
165,117.18576405693442,0.04196720319631625,419.24396914913314,0.20110440079185343,10000.000000000002
166,116.96548812662708,0.042218419427207124,421.75804801671006,0.2022716271332781,10000.000000000002
167,116.74558986845614,0.042470983091315216,424.28579893262236,0.20344381649234497,10000.0
168,116.52606928242166,0.04272489418864055,426.82722189687024,0.2046209688690541,10000.000000000002
169,116.30692636852356,0.04298015271918308,429.3823169094536,0.2058030842634054,9999.999999999998
170,116.0881611267619,0.04323675868294285,431.95108397037245,0.20699016267539896,10000.0
171,115.8697735571367,0.04349471207991984,434.533523079627,0.20818220410503474,10000.000000000002
172,115.65176365964788,0.04375401291011405,437.1296342372169,0.20937920855231273,10000.0
173,115.43413143429551,0.044014661173525475,439.73941744314254,0.21058117601723295,10000.000000000002
174,115.21687688107954,0.04427665687015412,442.3628726974034,0.21178810649979535,10000.0
175,115.0,0.04454,445.0,0.213,10000.0
176,114.7835007910569,0.0448046905630631,447.6507993509321,0.21421685651784686,10000.0
177,114.5673792542502,0.04507072855934341,450.31527075019966,0.21543867605333591,10000.0
178,114.35163538957994,0.045338113988840946,452.99341419780285,0.21666545860646727,10000.0
179,114.13626919704608,0.0456068468515557,455.6852296937414,0.2178972041772408,10000.0
180,113.92128067664865,0.04587692714748768,458.39071723801555,0.21913391276565652,10000.0
181,113.70666982838765,0.04614835487663688,461.1098768306252,0.22037558437171445,10000.0
182,113.49243665226305,0.04642113003900329,463.84270847157035,0.22162221899541462,10000.0
183,113.27858114827494,0.046695252634586945,466.58921216085116,0.22287381663675704,10000.0
184,113.06510331642319,0.04697072266338781,469.34938789846734,0.2241303772957417,10000.0
185,112.85200315670787,0.047247540125405885,472.1232356844191,0.2253919009723685,10000.0
186,112.639280669129,0.0475257050206412,474.9107555187064,0.22665838766663754,10000.0
187,112.42693585368653,0.04780521734909374,477.7119474013292,0.22792983737854883,10000.0
188,112.21560581805396,0.04808507388103106,480.5171400144891,0.22920226157131357,10000.0
189,112.0059276699048,0.048364271386720795,483.3166620403877,0.23047167170814312,10000.0
190,111.79790140923903,0.04864280986616292,486.11051347902486,0.23173806778903738,9999.999999999998
191,111.59152703605668,0.04892068931935746,488.8986943304007,0.2330014498139964,9999.999999999996
192,111.38680455035771,0.049197909746304384,491.6812045945153,0.2342618177830202,9999.999999999998
193,111.18373395214213,0.049474471147003714,494.45804427136864,0.23551917169610875,10000.0
194,110.98231524140996,0.049750373521455435,497.22921336096056,0.23677351155326207,10000.0
195,110.78254841816116,0.050025616869659555,499.99471186329106,0.2380248373544801,10000.0
196,110.58443348239581,0.05030020119161607,502.7545397783603,0.23927314909976297,10000.0
197,110.3879704341138,0.05057412648732498,505.5086971061682,0.24051844678911055,10000.0
198,110.1931592733152,0.05084739275678629,508.2571838467148,0.24176073042252288,9999.999999999998
199,110.0,0.05112,511.0,0.243,10000.0
200,109.80849261416822,0.05139194821696612,513.737145566024,0.24423625552154185,10000.000000000002
201,109.6186371158198,0.05166323740768461,516.4686205447865,0.24546949698714846,9999.999999999998
202,109.43043350495478,0.051933867572155505,519.1944249362876,0.2466997243968198,10000.0
203,109.24388178157317,0.05220383871037881,521.9145587405275,0.24792693775055596,10000.0
204,109.05898194567496,0.0524731508223545,524.6290219575061,0.24915113704835684,10000.0
205,108.87573399726013,0.052741803908082585,527.3378145872233,0.2503723222902225,10000.0
206,108.69413793632872,0.05300979796756308,530.0409366296792,0.2515904934761529,10000.0
207,108.51419376288067,0.05327713300079596,532.7383880848737,0.25280565060614807,10000.0
208,108.33590147691604,0.053543809007781246,535.430168952807,0.254017793680208,10000.0
209,108.15926107843481,0.053809825988518925,538.116279233479,0.2552269226983327,10000.0
210,107.98427256743696,0.054075183943009,540.7967189268895,0.2564330376605221,10000.0
211,107.81093594392253,0.054339882871251494,543.4714880330387,0.25763613856677636,10000.000000000002
212,107.63925120789145,0.05460392277324635,546.1405865519265,0.2588362254170953,10000.0
213,107.46921835934381,0.05486730364899363,548.8040144835531,0.26003329821147897,10000.0
214,107.3006983351058,0.055130169453742425,551.4628717530236,0.26122779963314385,10000.000000000004
215,107.13285675613477,0.055393383918987425,554.1237579109682,0.2624223857813882,10000.0
216,106.9655545592571,0.055657090999977815,556.787772882493,0.26361749933942874,10000.000000000002
